id,lex_liwc_OtherP,lex_liwc_death,lex_liwc_Exclam,lex_liwc_QMark,lex_liwc_Dash,lex_liwc_nonflu,lex_liwc_home,lex_liwc_leisure,lex_liwc_money,lex_liwc_friend,lex_liwc_number,lex_liwc_focusfuture,lex_liwc_female,lex_liwc_sexual,lex_liwc_risk,lex_liwc_sad,lex_liwc_work,lex_liwc_netspeak,lex_liwc_Comma,lex_liwc_you,lex_liwc_interrog,lex_liwc_achieve,lex_liwc_reward,lex_liwc_swear,lex_liwc_certain,lex_liwc_anx,lex_liwc_quant,lex_liwc_cause,lex_liwc_motion,lex_liwc_we,lex_liwc_anger,lex_liwc_discrep,lex_liwc_Apostro,lex_liwc_ingest,lex_liwc_negate,lex_liwc_informal,lex_liwc_tentat,lex_liwc_see,lex_liwc_body,lex_liwc_hear,lex_liwc_insight,lex_liwc_Tone,lex_liwc_adverb,lex_liwc_WC,lex_liwc_focuspast,lex_liwc_time,lex_liwc_affiliation,lex_liwc_Sixltr,lex_liwc_feel,lex_liwc_health,lex_liwc_conj,lex_liwc_article,lex_liwc_drives,social_upvote_ratio,social_karma_cap,social_num_comments_cap,label
33181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688,0.07251264755480608,0.0,0.0,0.1036,0.276,0.04668838219326818,0.0,0.08241758241758242,0.0344,0.04815229563269877,0.10317936412717456,0.11390728476821192,0.10324129651860744,0.0,0.0344,0.14789337919174547,0.0688,0.059106529209621984,0.0,0.16402786573780873,0.2072,0.0688,0.0,0.13333333333333333,0.06595092024539877,0.3101379724055189,0.1582336706531739,0.04073898626243487,0.1823966065747614,0.26057401812688824,0.0,0.24125058329444704,0.3576158940397351,0.16375379939209725,0.22112211221122116,0.0,0.19855651105651104,0.12329749103942654,0.13119755911517925,0.20831319478008697,0.2221506761107534,0.22986666666666666,0.8372093023255813,0.025,0.01,1
2606,0.009366067782768477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06162089752176826,0.0,0.11,0.07757166947723441,0.0,0.0,0.0,0.0,0.5977198697068403,0.08280828082808281,0.06569517439082656,0.11,0.05151175811870101,0.22015596880623872,0.3642384105960265,0.0,0.1543001686340641,0.0,0.07910576096302666,0.0,0.1890034364261168,0.21219135802469136,0.0,0.2936,0.11,0.0,0.07131782945736434,0.14033742331288343,0.3299340131973605,0.0846366145354186,0.0,0.0,0.13821752265861026,0.9916326530612244,0.17125524965002334,0.3344370860927152,0.034954407294832825,0.06710671067106712,0.23830155979202775,0.324017199017199,0.0,0.0,0.3992266795553407,0.531873792659369,0.41600000000000004,0.5930232558139537,0.02,0.02,0
38816,0.0,0.0,0.0,0.005692059576890238,0.0,0.0,0.043509789702683106,0.0900225056264066,0.0,0.34922178988326846,0.048,0.15177065767284992,0.09966777408637875,0.0,0.0,0.0,0.0,0.0,0.08576206402293358,0.07200000000000001,0.0335946248600224,0.03599280143971205,0.31788079470198677,0.0,0.0,0.0,0.15477214101461736,0.096,0.3292096219931271,0.1388888888888889,0.0,0.048,0.07200000000000001,0.0,0.09302325581395349,0.0,0.17936412717456507,0.0,0.028422548555187117,0.0,0.3164652567975831,0.2527551020408163,0.08399440037330845,0.5264900662251656,0.1363981762917933,0.19765309864319766,0.23353552859618718,0.26673832923832924,0.0,0.0,0.28951184146930886,0.34707018673535095,0.2394666666666667,0.6162790697674418,0.01,0.0,1
239,0.0,0.0,0.0,0.0,0.0,0.0,0.02683103698332125,0.0277569392348087,0.0,0.10700389105058367,0.0,0.0927487352445194,0.020487264673311186,0.05040871934604905,0.0292,0.0584,0.039630836047774155,0.0657065706570657,0.17510750119445773,0.0148,0.061590145576707736,0.0,0.14569536423841062,0.0,0.1239460370994941,0.0,0.0945829750644884,0.0584,0.12577319587628866,0.02854938271604938,0.023432552248258392,0.1464,0.0,0.011101110111011102,0.2837209302325581,0.19631901840490798,0.10977804439112177,0.10119595216191354,0.0,0.0,0.5808157099697885,0.7985714285714286,0.3075128324778348,0.8774834437086092,0.29217325227963525,0.2284561789512285,0.17461005199306762,0.12377149877149876,0.39354838709677425,0.0,0.47800869985500244,0.21249195106245977,0.17573333333333335,0.4186046511627907,0.0,0.05,1
1421,0.0,0.0,0.0,0.0,0.0,0.0,0.16316171138506166,0.0,0.07501674480910919,0.0,0.044800000000000006,0.0,0.0,0.15258855585831066,0.044800000000000006,0.0,0.06080347448425624,0.0,0.1610129001433349,0.0,0.06270996640537516,0.1349730053989202,0.0,0.0,0.09443507588532885,0.044800000000000006,0.09630266552020637,0.18,0.15463917525773194,0.0,0.28435718809373023,0.0,0.044800000000000006,0.0,0.1744186046511628,0.08588957055214724,0.0,0.0,0.0,0.0,0.2545317220543807,0.0,0.20951936537564164,0.2682119205298013,0.2135258358662614,0.37073707370737075,0.0,0.48310810810810806,0.16129032258064518,0.08543096872616325,0.21701304978250363,0.2891178364455892,0.20986666666666667,1.0,0.12,0.01,1
17554,0.0097233564720294,0.0,0.0,0.027132150649843468,0.028502850285028504,0.0,0.0,0.0,0.0,0.0924124513618677,0.1144,0.08010118043844856,0.0,0.0,0.038,0.152,0.1552660152008686,0.0855085508550855,0.13640707118967987,0.0,0.1601343784994401,0.17156568686262744,0.12582781456953643,0.0,0.08010118043844856,0.038,0.2459157351676698,0.076,0.13058419243986252,0.29398148148148145,0.06016466117796074,0.3048,0.2668,0.0,0.36899224806201547,0.07285276073619631,0.05698860227954408,0.0,0.0,0.0,0.28776435045317217,0.0,0.13345776948203453,0.3211920529801324,0.0721884498480243,0.13971397139713973,0.330155979202773,0.16093366093366093,0.0,0.07246376811594203,0.3223779603673272,0.12234385061171926,0.4317333333333334,0.7093023255813953,0.01,0.05,1
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,0.0,0.13953488372093023,0.11444141689373298,0.0,0.0672,0.09120521172638435,0.0,0.1806020066889632,0.0,0.0940649496080627,0.050389922015596875,0.0,0.0,0.07082630691399663,0.0,0.21668099742046432,0.1344,0.05773195876288659,0.19444444444444445,0.0,0.0672,0.1344,0.0,0.26046511627906976,0.0,0.10077984403119375,0.2318307267709292,0.0,0.17815482502651114,0.0,0.8558163265306122,0.23518432104526366,0.3675496688741722,0.5429331306990881,0.27722772277227725,0.14558058925476602,0.18058968058968056,0.0,0.06407322654462243,0.527791203479942,0.3245331616226658,0.1792,0.8604651162790697,0.03,0.29,0
33053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22596964586846546,0.0,0.0,0.1072,0.0712,0.09717698154180239,0.0,0.0,0.0,0.15005599104143338,0.16076784643071385,0.3549668874172186,0.0,0.07504215851602024,0.1072,0.0765262252794497,0.2856,0.06116838487972508,0.0,0.0,0.0712,0.0,0.0,0.0,0.0682515337423313,0.05338932213557288,0.0,0.16911416390336334,0.0,0.40483383685800606,0.0,0.4167055529631358,0.3443708609271523,0.40691489361702127,0.4910157682434911,0.0,0.12346437346437344,0.0,0.06788710907704043,0.6041565973900435,0.17256922086284612,0.2618666666666667,1.0,0.005,0.0,1
7581,0.0,0.0,0.0,0.0,0.0,0.0,0.08919506889050037,0.0,0.08238446081714669,0.0,0.09880000000000001,0.0,0.0,0.0,0.09880000000000001,0.29600000000000004,0.13409337676438654,0.0,0.029383659818442424,0.0,0.13829787234042556,0.0,0.0,0.0,0.10370994940978079,0.0492,0.10576096302665519,0.0,0.33951890034364257,0.2854938271604938,0.0,0.0,0.0,0.0,0.09534883720930232,0.0,0.14817036592681462,0.0,0.0,0.0,0.2794561933534743,0.0,0.28791413905739616,0.24172185430463575,0.0,0.2262559589292263,0.4280762564991335,0.3032862407862408,0.2652329749103943,0.09382151029748284,0.2387626872885452,0.39729555698647784,0.32933333333333337,0.9302325581395348,0.67,0.43,1
1517,0.0,0.15846338535414167,0.0,0.012522531069158524,0.0,0.0,0.0,0.2963240810202551,0.0,0.1284046692607004,0.05280000000000001,0.0,0.0,0.1798365122615804,0.05280000000000001,0.0,0.0,0.0,0.06282847587195413,0.0,0.07390817469204929,0.0,0.0,0.47418967587034816,0.11129848229342329,0.0,0.33963886500429924,0.10560000000000001,0.0,0.20293209876543208,0.3331222292590247,0.0,0.158,0.07890789078907891,0.10232558139534884,0.40337423312883436,0.0,0.0,0.18711511132164854,0.0,0.2983383685800604,0.0,0.5524965002333178,0.2251655629139073,0.05015197568389058,0.1928859552621929,0.22790294627383015,0.10104422604422604,0.28315412186379935,0.20061022120518687,0.38134364427259543,0.3386992916934965,0.2808,0.7674418604651163,0.1,0.06,1
